# searching through an array of length n, time in ns
#      n  linear  binary
     100      26      40
     200      48      49
     300      73      53
     400      95      57
     500     116      58
     600     141      61
     700     167      63
     800     191      64
     900     212      65
    1000     236      66
    1100     257      67
    1200     281      68
    1300     304      68
    1400     328      69
    1500     349      69
    1600     371      70
